gene_name,go_terms,cog_class,cog_letter,b_number,mass_fraction,dataset_name,strain,growth_rate_hr,carbon_source
bcp,GO:0034599; GO:0005737; GO:0005623; GO:0045454; GO:0098869; GO:0051920; GO:0016491; GO:0016209; GO:0004601; GO:0005829; GO:0055114; GO:0032843; GO:0008379; GO:0006979,cellular processes and signaling,O,b2480,0.000417,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
bcr,GO:0042910; GO:0042908; GO:0006855; GO:0015299; GO:1990961; GO:0005887; GO:0033228; GO:0033229; GO:0015833; GO:0015031; GO:0035442; GO:0071916; GO:0055085; GO:0005886; GO:0046677; GO:0016021; GO:0016020,metabolism,G,b2182,3.62e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
bdm,GO:1902210,Not Assigned,Not Assigned,b1481,2.39e-06,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
bfd,GO:0055114; GO:0051536; GO:0005829; GO:0005515; GO:0051537; GO:0046872,metabolism,P,b3337,0.000185,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
bfr,GO:0005623; GO:0005515; GO:0042803; GO:0020037; GO:0042802; GO:0046872; GO:0006879; GO:0008199; GO:0006826; GO:0055114; GO:0016491; GO:0005506; GO:0006880; GO:0004322; GO:0005829,metabolism,P,b3336,6.3e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
bglB,GO:0016052; GO:0103047; GO:0008422; GO:0005829; GO:0005975; GO:0004553; GO:0016798; GO:0016787; GO:0008152; GO:0008706,metabolism,G,b3721,2.69e-06,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
bioC,GO:0102130; GO:0005829; GO:0016740; GO:0008168; GO:0032259; GO:0010340; GO:0009102,Not Assigned,Not Assigned,b0777,8.06e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
bioH,GO:0005515; GO:0016787; GO:0090499; GO:0005737; GO:0052689; GO:0009102,poorly characterized,R,b3412,2.16e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
blc,GO:0006629; GO:0005737; GO:0000302; GO:0036406; GO:0006974; GO:0008289; GO:0016020; GO:0009279,cellular processes and signaling,M,b4149,6.55e-06,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
blr,GO:0000935; GO:0036460; GO:0016020; GO:0051301; GO:0007049; GO:0005515; GO:0033554; GO:0005886; GO:0046677; GO:0016021,Not Assigned,Not Assigned,b4409,1.36e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
brnQ,GO:0098655; GO:1903785; GO:1902475; GO:0005515; GO:0016020; GO:0015803; GO:0015658; GO:0006865; GO:0015190; GO:0015188; GO:0005304; GO:0015829; GO:0015820; GO:0015818; GO:0005886; GO:0016021,metabolism,E,b0401,5.07e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
can,GO:0005515; GO:0016829; GO:0015976; GO:0005829; GO:0046872; GO:0008270; GO:0004089,metabolism,P,b0126,0.000795,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
carA,GO:0006807; GO:0008652; GO:0044205; GO:0005951; GO:0006207; GO:0005737; GO:0000166; GO:0005829; GO:0016874; GO:0006541; GO:0005524; GO:0005515; GO:0004088; GO:0006526; GO:0006221,metabolism,E,b0032,0.000279,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cas1,GO:0042802; GO:0004520; GO:0003676; GO:0042803; GO:0090305; GO:0003677; GO:0016787; GO:0004519; GO:0004518; GO:0051607; GO:0046872; GO:0006281; GO:0005737; GO:0043571; GO:0006974; GO:0017108; GO:0005515; GO:0008821,cellular processes and signaling,V,b2755,4.61e-06,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cas2,GO:0003677; GO:0005515; GO:0090305; GO:0005829; GO:0051607; GO:0016787; GO:0004519; GO:0004518; GO:0043571,Not Assigned,Not Assigned,b2754,6.38e-06,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cas3,GO:0000738; GO:0000014; GO:0008296; GO:0000737; GO:0005829; GO:0046872; GO:0016787; GO:0004386; GO:0003677; GO:0003676; GO:0004527; GO:0004519; GO:0004518; GO:0097098; GO:0033677; GO:0003690; GO:0000287; GO:0051607; GO:0005524; GO:0000166,cellular processes and signaling,V,b2761,1.99e-06,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cbl,GO:0003700; GO:0006355; GO:0005829; GO:0045883; GO:0003677,information storage and processing,K,b1987,4.74e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cbpA,GO:0051085; GO:0042026; GO:0005515; GO:0003677; GO:0051082; GO:0006457; GO:0005829; GO:0009295; GO:0003681; GO:0005737,Not Assigned,Not Assigned,b1000,1.01e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cca,GO:0016791; GO:0016311; GO:0000287; GO:0000049; GO:0004112; GO:0005515; GO:0016779; GO:0016740; GO:0008152; GO:0008033; GO:0006396; GO:0003824; GO:0052929; GO:0052928; GO:0052927; GO:0005829; GO:0046872; GO:0042245; GO:0016787; GO:0005524; GO:0003723; GO:0001680; GO:0000166; GO:0016437; GO:0004810; GO:0005737,information storage and processing,J,b3056,0.000104,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cdd,GO:0042802; GO:0016787; GO:0003824; GO:0046872; GO:0042803; GO:0047844; GO:0006217; GO:0009972; GO:0001884; GO:0005829; GO:0008270; GO:0004126; GO:0015949,metabolism,F,b2143,2.88e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cdh,GO:0005887; GO:0006629; GO:0046342; GO:0005886; GO:0016787; GO:0016021; GO:0016020; GO:0008654; GO:0008715,metabolism,I,b3918,2.06e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cfa,GO:0031234; GO:0071890; GO:0042803; GO:0016740; GO:0008168; GO:0006629; GO:0006633; GO:0005829; GO:0032259; GO:0030258; GO:0008610; GO:0005737; GO:0008825,metabolism,I,b1661,5.38e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
chbA,GO:0032991; GO:0034219; GO:1902815; GO:0090566; GO:0005515; GO:0005829; GO:0016740; GO:0008643; GO:0005737; GO:0009401,metabolism,G,b1736,8.73e-06,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
chbB,GO:0034219; GO:1902815; GO:0090566; GO:0005829; GO:0005515; GO:0016310; GO:0016301; GO:0016740; GO:0008982; GO:0008643; GO:0005737; GO:0009401,metabolism,G,b1738,3.81e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cheA,GO:0005623; GO:1902021; GO:1901875; GO:0050920; GO:0031400; GO:0016310; GO:0000160; GO:0009454; GO:0043052; GO:0098561; GO:0023014; GO:0018106; GO:0005886; GO:0007165; GO:0005515; GO:0016772; GO:0000155; GO:0005829; GO:0046777; GO:0000166; GO:0016740; GO:0016301; GO:0006935; GO:0005737; GO:0005524; GO:0004673; GO:0051649,cellular processes and signaling,T,b1888,0.000711,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cheB,GO:0007165; GO:1990827; GO:0018277; GO:0023014; GO:0050568; GO:0005515; GO:0006482; GO:0005886; GO:0000160; GO:0000156; GO:0005829; GO:0016787; GO:0006935; GO:0005737; GO:0008984,cellular processes and signaling,T,b1883,0.000244,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cheR,GO:0008276; GO:0098561; GO:0008022; GO:0006479; GO:0005886; GO:0005829; GO:0008757; GO:0032259; GO:0016740; GO:0008168; GO:0006935; GO:0008983,cellular processes and signaling,T,b1884,0.00036,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cheW,GO:0005623; GO:1901875; GO:0019904; GO:0005886; GO:0010864; GO:0042803; GO:0009454; GO:0023014; GO:0098561; GO:0051649; GO:0005829; GO:0005515; GO:0007165; GO:0006935; GO:0005737,cellular processes and signaling,T,b1887,0.00153,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cheY,GO:0005515; GO:0005829; GO:0016407; GO:0006473; GO:1902021; GO:0000156; GO:0009454; GO:0043052; GO:0000160; GO:0023014; GO:0097588; GO:0018393; GO:0046872; GO:0006935; GO:0005737; GO:0000287,Not Assigned,Not Assigned,b1882,0.00124,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cho,GO:0009380; GO:0033683; GO:0004520; GO:0005829; GO:0016787; GO:0006974; GO:0005515; GO:0004518; GO:0006281; GO:0009432,Not Assigned,Not Assigned,b1741,2.68e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cmk,GO:0046940; GO:0006220; GO:0033317; GO:0004592; GO:0010165; GO:0006139; GO:0005829; GO:0015949; GO:0004127; GO:0016310; GO:0016740; GO:0016301; GO:0005524; GO:0000166; GO:0005737,metabolism,F,b0910,0.000179,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cmtA,GO:0034219; GO:0022872; GO:0015797; GO:0005887; GO:0016310; GO:0016301; GO:0005886; GO:0016740; GO:0016021; GO:0016020; GO:0008982; GO:0008643; GO:0009401,metabolism,G,b2933,4.1e-07,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cnu,GO:0005829; GO:1900232; GO:0060566; GO:0005515; GO:0003677,Not Assigned,Not Assigned,b1625,1.18e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
coaA,GO:0050165; GO:0042803; GO:0005829; GO:0016740; GO:0016301; GO:0000166; GO:0016310; GO:0005737; GO:0005524; GO:0004594; GO:0015937,metabolism,H,b3974,9.45e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
codB,GO:1902600; GO:0022857; GO:0055085; GO:0015856; GO:0015209; GO:0015295; GO:0005887; GO:0005886; GO:0019858; GO:0016021; GO:0016020,metabolism,F,b0336,1.8e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cof,GO:0016311; GO:0005829; GO:0016818; GO:0016787; GO:0046872; GO:0017001; GO:0000287; GO:0017110; GO:0016791; GO:0009228,poorly characterized,R,b0446,1.85e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
corA,GO:1903830; GO:0055085; GO:0046873; GO:0030001; GO:0006811; GO:0035444; GO:0015099; GO:0005887; GO:0005886; GO:0016021; GO:0016020; GO:0015693; GO:0015095; GO:0015087; GO:0006824,metabolism,P,b3816,4.65e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cra,GO:0000986; GO:0042802; GO:2000142; GO:0009750; GO:0005829; GO:0006355; GO:0003677,information storage and processing,K,b0080,0.000139,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
crl,GO:2000144; GO:0034622; GO:0005515; GO:0005829; GO:0045893,Not Assigned,Not Assigned,b0240,0.000235,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
crp,GO:0042802; GO:0043565; GO:0032993; GO:0005515; GO:0006355; GO:0003700; GO:0045893; GO:0045892; GO:0045013; GO:0005829; GO:0030552; GO:0003677; GO:0000166; GO:0006351,cellular processes and signaling,T,b3357,0.000873,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
crr,GO:0005515; GO:0043610; GO:0045912; GO:0005737; GO:0031234; GO:0016310; GO:0005829; GO:0046872; GO:0016740; GO:0016301; GO:0008643; GO:0009401,metabolism,G,b2417,0.0019,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cspA,GO:0003676; GO:0031564; GO:0003723; GO:0003727; GO:0005829; GO:0001072; GO:0060567; GO:0009409; GO:0003697; GO:0003677; GO:0006351; GO:0005737,information storage and processing,K,b3556,0.0181,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cspB,GO:0003676; GO:0005829; GO:0009409; GO:0003697; GO:0003723; GO:0006950; GO:0005737; GO:0003677,information storage and processing,K,b1557,8.67e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cutC,GO:0005623; GO:0006878; GO:0055070; GO:0005507; GO:0005829; GO:0005737,metabolism,P,b1874,6.21e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cybB,GO:0005887; GO:0019430; GO:0009055; GO:0055114; GO:0020037; GO:0022904; GO:0005886; GO:0046872; GO:0016021; GO:0016020,metabolism,C,b1418,0.000103,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cynX,GO:0022857; GO:0055085; GO:0005886; GO:0016021; GO:0016020; GO:0009440,metabolism,P,b0341,3.05e-06,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cyoA,GO:0042773; GO:0008827; GO:0005507; GO:0004129; GO:0071575; GO:0009060; GO:0015990; GO:0055114; GO:0022900; GO:0016491; GO:0016021; GO:0016020; GO:0005886; GO:0016682; GO:0009319; GO:0019646; GO:0070469; GO:0005887; GO:0015078; GO:0009486; GO:0009055; GO:0015453,metabolism,C,b0432,0.000633,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cyoB,GO:0004129; GO:0005515; GO:0055114; GO:0046872; GO:0016021; GO:0016020; GO:0009060; GO:0006811; GO:0005886; GO:0016682; GO:0070469; GO:0009319; GO:0015990; GO:0015078; GO:0048039; GO:0019646; GO:0005887; GO:0009486; GO:0020037; GO:0005507; GO:0009055; GO:0015453,metabolism,C,b0431,0.000455,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cyoC,GO:0008827; GO:0004129; GO:0005887; GO:0005515; GO:0009060; GO:0055114; GO:0022904; GO:0016491; GO:0016021; GO:0016020; GO:0015002; GO:0009319; GO:0015990; GO:0015078; GO:0019646; GO:0005886; GO:0009486; GO:0009055; GO:0015453,metabolism,C,b0430,0.000352,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cyoD,GO:0005515; GO:0005887; GO:0009060; GO:0055114; GO:0016491; GO:0016020; GO:0008827; GO:0009319; GO:0015990; GO:0015078; GO:0015453; GO:0019646; GO:0005886; GO:0009486; GO:0016021; GO:0009055,metabolism,C,b0429,0.000412,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cysB,GO:0010165; GO:0005829; GO:0042802; GO:0006355; GO:0003700; GO:0008652; GO:0003677; GO:0019344; GO:0006351; GO:0005737,information storage and processing,K,b1275,0.000167,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cysD,GO:0000103; GO:0009336; GO:0005829; GO:0006979; GO:0016779; GO:0016740; GO:0003824; GO:0005515; GO:0019419; GO:0070814; GO:0005524; GO:0000166; GO:0004781; GO:0006790,metabolism,E,b2752,0.00046,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cysI,GO:0000103; GO:0050311; GO:0016002; GO:0051536; GO:0005515; GO:0050661; GO:0046872; GO:0070814; GO:0055114; GO:0051539; GO:0020037; GO:0019344; GO:0016491; GO:0009337; GO:0008652; GO:0004783,metabolism,P,b2763,0.000504,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cysJ,GO:0005829; GO:0000103; GO:0070401; GO:0016491; GO:0070814; GO:0042602; GO:0009337; GO:0050660; GO:0055114; GO:0019344; GO:0010181; GO:0008652; GO:0005515; GO:0004783,metabolism,P,b2764,0.000413,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
cysN,GO:0000103; GO:0009336; GO:0005829; GO:0005515; GO:0070814; GO:0005524; GO:0016779; GO:0016740; GO:0005525; GO:0003924; GO:0000166; GO:0004781; GO:0006790,metabolism,P,b2751,0.000416,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
dacB,GO:0005515; GO:0042597; GO:0016787; GO:0004185; GO:0006508; GO:0051301; GO:0005886; GO:0004175; GO:0000270; GO:0009253; GO:0009254; GO:0016998; GO:0043093; GO:0004180; GO:0008658; GO:0046677; GO:0009252; GO:0008360; GO:0007049; GO:0071555; GO:0009002,cellular processes and signaling,M,b3182,4e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
dacC,GO:0042803; GO:0030288; GO:0004175; GO:0071555; GO:0016787; GO:0016020; GO:0008233; GO:0005886; GO:0005887; GO:0008658; GO:0009252; GO:0009002; GO:0008360; GO:0006508; GO:0004180; GO:0042493,cellular processes and signaling,M,b0839,7.66e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
dam,GO:0005515; GO:0009411; GO:1904047; GO:1902328; GO:0043565; GO:0016740; GO:0008168; GO:0006260; GO:0032775; GO:0032259; GO:0003676; GO:0005829; GO:0006261; GO:0006298; GO:0009007,information storage and processing,L,b3387,0.000113,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
dapA,GO:0016829; GO:0009089; GO:0009085; GO:0008652; GO:0008152; GO:0005737; GO:0003824; GO:0042802; GO:0005829; GO:0019877; GO:0008840,metabolism,E,b2478,0.0006,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
dapB,GO:0051287; GO:0050661; GO:0016726; GO:0009089; GO:0009085; GO:0008652; GO:0005737; GO:0042802; GO:0055114; GO:0005829; GO:0019877; GO:0016491; GO:0008839,metabolism,E,b0031,0.000394,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
dcd,GO:0000166; GO:0006235; GO:0070207; GO:0009314; GO:0005829; GO:0016787; GO:0006229; GO:0006226; GO:0009117; GO:0008829; GO:0015949,metabolism,F,b2065,0.000247,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
dcm,GO:0090116; GO:0009307; GO:0032259; GO:0016740; GO:0008168; GO:0005829; GO:0005515; GO:0003886,information storage and processing,L,b1961,3.81e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
dcp,GO:0005829; GO:0016787; GO:0008233; GO:0004222; GO:0030288; GO:0046872; GO:0008237; GO:0005737; GO:0004180; GO:0006508,metabolism,E,b1538,6.21e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
def,GO:0005829; GO:0043022; GO:0046872; GO:0016787; GO:0008270; GO:0008198; GO:0043686; GO:0031365; GO:0006412; GO:0005515; GO:0042586,information storage and processing,J,b3287,0.000318,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
deoR,GO:0006355; GO:0003677; GO:0003700; GO:0005829; GO:2000143; GO:0000986,information storage and processing,K,b0840,4.63e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
der,GO:0005515; GO:0043023; GO:0097216; GO:0005829; GO:0042254; GO:0032794; GO:0043022; GO:0003924; GO:0005525; GO:0000166; GO:0000027,poorly characterized,R,b2511,0.000181,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
dfp,GO:0042802; GO:0005515; GO:0016874; GO:0016831; GO:0016829; GO:0008152; GO:0003824; GO:0015941; GO:0005829; GO:0010181; GO:0046872; GO:0004633; GO:0004632; GO:0015937,metabolism,H,b3639,5.5e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
dgt,GO:0016793; GO:0042802; GO:0016787; GO:0006203; GO:0000287; GO:0005829; GO:0043099; GO:0003697; GO:0050897; GO:0030145; GO:0003924; GO:0008832; GO:0015949,metabolism,F,b0160,2.56e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
dinB,GO:0019985; GO:0006261; GO:0000287; GO:0070987; GO:0042276; GO:0016779; GO:0016740; GO:0006281; GO:0005515; GO:0003684; GO:0000731; GO:0005829; GO:0046872; GO:0006974; GO:0006260; GO:0003677; GO:0003887; GO:0009432; GO:0005737,information storage and processing,L,b0231,1.08e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
dinQ,GO:0005886; GO:0006974; GO:0016021; GO:0016020,Not Assigned,Not Assigned,b4613,0.00185,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
dld,GO:0003824; GO:0048038; GO:0071949; GO:0055085; GO:0005887; GO:0031234; GO:0022904; GO:0009061; GO:0055114; GO:0016491; GO:0016020; GO:0006089; GO:0016901; GO:0019516; GO:0005886; GO:0050660; GO:0009060; GO:0009055,metabolism,C,b2133,0.000194,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
dps,GO:0005623; GO:0042802; GO:0006950; GO:0005515; GO:0016722; GO:0008199; GO:0030261; GO:0042594; GO:0009295; GO:0055114; GO:0046872; GO:0016491; GO:0006879; GO:0003677; GO:0005737,metabolism,P,b0812,2.12e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
dsbA,GO:0005623; GO:0003756; GO:0055114; GO:0042597; GO:0045454; GO:0071236; GO:0030288; GO:0015035; GO:0005515,Not Assigned,Not Assigned,b3860,0.000435,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
dsbD,GO:0009898; GO:0022900; GO:0009055; GO:0005623; GO:0046688; GO:0005515; GO:0016020; GO:0017004; GO:0005886; GO:0015035; GO:0071502; GO:0042493; GO:0005887; GO:0055114; GO:0047134; GO:0045454; GO:0016491; GO:0016021,cellular processes and signaling,O,b4136,2.47e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
dtd,GO:0043908; GO:0019478; GO:0016788; GO:0106074; GO:0005515; GO:0003723; GO:0000049; GO:0106026; GO:0051499; GO:0005829; GO:0009408; GO:0042803; GO:0002161; GO:0016787; GO:0051500; GO:0005737; GO:0006399,information storage and processing,J,b3887,7.07e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
dut,GO:0032991; GO:0006220; GO:0005737; GO:0070207; GO:0046081; GO:0000287; GO:0016787; GO:0006226; GO:0046872; GO:0005829; GO:0009117; GO:0004170,metabolism,F,b3640,0.000131,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
dxr,GO:0016114; GO:0051484; GO:0005829; GO:0016491; GO:0042802; GO:0030145; GO:0070402; GO:0019288; GO:0055114; GO:0046872; GO:0008299; GO:0030604,metabolism,I,b0173,2.87e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
dxs,GO:0000287; GO:0019288; GO:0042803; GO:0016740; GO:0003824; GO:0016114; GO:0052865; GO:0046872; GO:0005829; GO:0030976; GO:0008299; GO:0008661; GO:0006744; GO:0008615; GO:0009228,metabolism,H,b0420,0.000118,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
ebgC,GO:0005829,metabolism,G,b3077,4.1e-06,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
eco,GO:0010951; GO:0042803; GO:0030414; GO:0030288; GO:0005515; GO:0010466; GO:0042597; GO:0004867,cellular processes and signaling,O,b2209,1.16e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
eda,GO:0043725; GO:0106009; GO:0008948; GO:0009255; GO:0016833; GO:0042802; GO:0016829; GO:0005737; GO:0003824; GO:0005829; GO:0008152; GO:0008675; GO:0008700,metabolism,G,b1850,0.000188,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
edd,GO:0005829; GO:0051539; GO:0051536; GO:0046872; GO:0019521; GO:0005975; GO:0046177; GO:0016829; GO:0003824; GO:0009255; GO:0004456,metabolism,E,b1851,3.59e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
efp,GO:0072344; GO:2001125; GO:0043043; GO:0005829; GO:0043022; GO:0006414; GO:0006412; GO:0003746; GO:0005737,information storage and processing,J,b4147,0.00113,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
eno,GO:0042803; GO:0046872; GO:0016829; GO:0005737; GO:0000015; GO:0005576; GO:0009986; GO:0005829; GO:0042802; GO:0005856; GO:0005515; GO:0000287; GO:0004634; GO:0006096,metabolism,G,b2779,0.00207,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
entC,GO:0009697; GO:0046872; GO:0000287; GO:0016853; GO:0009058; GO:0008909; GO:0009239,metabolism,Q,b0593,0.000275,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
entD,GO:0016020; GO:0005829; GO:0016780; GO:0016740; GO:0000287; GO:0031226; GO:0046872; GO:0009366; GO:0008897; GO:0009239,metabolism,Q,b0583,7.67e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
epd,GO:0016620; GO:0016491; GO:0005829; GO:0006006; GO:0055114; GO:0051287; GO:0048001; GO:0042823; GO:0004365; GO:0008615; GO:0005737,metabolism,G,b2927,0.000471,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
era,GO:0000028; GO:0097216; GO:0005515; GO:0046777; GO:0031234; GO:0042254; GO:0019843; GO:0016020; GO:0003723; GO:0000166; GO:0005829; GO:0070181; GO:0043024; GO:0042274; GO:0006468; GO:0005737; GO:0003924; GO:0005886; GO:0005525,information storage and processing,J,b2566,0.000228,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
etk,GO:0045226; GO:0042802; GO:0016740; GO:0016310; GO:0016301; GO:0016020; GO:0009103; GO:0038083; GO:0005524; GO:0000166; GO:0005886; GO:0016021; GO:0004713,cellular processes and signaling,M,b0981,1.04e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
etp,GO:0005829; GO:0006470; GO:0016787; GO:0004721; GO:0035335; GO:0004725,cellular processes and signaling,T,b0982,2.79e-06,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
evgA,GO:0005515; GO:0003677; GO:0005829; GO:0043565; GO:0006355; GO:0005737; GO:0000160,information storage and processing,K,b2369,2.78e-06,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
evgS,GO:0005886; GO:0007165; GO:0023014; GO:0018106; GO:0010447; GO:0010038; GO:0016772; GO:0016740; GO:0016310; GO:0016301; GO:0004673; GO:0000166; GO:0046777; GO:0016021; GO:0016020; GO:0005524; GO:0000160; GO:0000155,cellular processes and signaling,T,b2370,1.36e-07,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
exuR,GO:0006355; GO:0003700; GO:0005829; GO:0045892; GO:0003677,information storage and processing,K,b3094,0.000104,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
fau,GO:0035999; GO:0009396; GO:0016874; GO:0000166; GO:0022611; GO:0030272; GO:0005524; GO:0005515,metabolism,H,b2912,6.72e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
fbp,GO:0016051; GO:0000287; GO:0032991; GO:0042802; GO:0030388; GO:0006002; GO:0006000; GO:0005986; GO:0016791; GO:0016311; GO:0042578; GO:0016787; GO:0008152; GO:0005975; GO:0003824; GO:0005829; GO:0046872; GO:0000166; GO:0042132; GO:0006094; GO:0005737,metabolism,G,b4232,0.000144,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
